danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040
0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,174000
0.636,0.605,-4.96,0.0375,0.197,0.0,0.147,0.338,143.025,245874
0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013
0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,224695
0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,182161
0.633,0.562,-5.495,0.0351,0.479,0.0,0.142,0.511,139.824,178065
0.662,0.413,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005,161385
0.593,0.503,-6.725,0.22,0.293,0.0,0.405,0.71,178.781,137704
0.824,0.587,-6.401,0.0937,0.69,0.000105,0.149,0.514,98.029,209438
0.794,0.793,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290
0.777,0.807,-4.967,0.0707,0.104,0.0,0.126,0.874,125.002,179520
0.798,0.675,-5.041,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947
0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667
0.7,0.677,-6.179,0.0615,0.526,0.00352,0.151,0.58,90.077,120377
0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
0.501,0.591,-7.167,0.0464,0.333,0.0,0.109,0.213,119.052,163425
0.737,0.802,-4.771,0.0878,0.468,0.0,0.0931,0.682,144.015,172325
0.707,0.627,-3.785,0.0383,0.0878,0.0,0.172,0.565,140.993,139755
0.8,0.658,-6.142,0.079,0.25,0.0,0.111,0.462,140.042,195429
0.778,0.695,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996,132780
0.716,0.639,-4.622,0.0568,0.189,0.0,0.188,0.689,92.052,125508
0.746,0.69,-7.956,0.164,0.247,0.0,0.101,0.497,89.977,181733
0.896,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,116.971,196653
0.755,0.522,-4.368,0.0575,0.533,0.0,0.0685,0.925,89.96,157560
0.796,0.602,-8.033,0.252,0.043,0.0,0.105,0.612,105.026,153145
0.759,0.54,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947,190960
0.725,0.793,-4.602,0.048,0.475,0.0,0.145,0.701,88.012,193200
0.817,0.542,-4.86,0.067,0.106,2.65e-06,0.0948,0.675,102.006,138404
0.878,0.619,-5.56,0.102,0.0533,0.0,0.113,0.639,136.041,157067
0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,194088
0.587,0.783,-5.573,0.124,0.0155,7.26e-05,0.391,0.438,109.801,150545
0.778,0.317,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048,178627
0.594,0.533,-8.9,0.0433,0.261,0.0,0.0609,0.479,143.875,185440
0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.015,214290
0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,200787
0.579,0.904,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014,190947
0.72,0.706,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002,187436
0.825,0.652,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,233713
0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,244960
0.56,0.68,-7.648,0.321,0.555,0.0,0.116,0.319,89.391,173800
0.717,0.653,-5.634,0.0658,0.229,0.0,0.101,0.412,106.966,207320
0.656,0.578,-8.97,0.0922,0.235,0.0,0.118,0.556,94.514,256733
0.704,0.859,-4.877,0.0996,0.0185,0.0,0.0215,0.926,105.115,217289
0.705,0.769,-5.526,0.0425,0.113,0.0,0.105,0.583,107.949,213520
0.393,0.858,-2.868,0.0729,0.00359,0.0,0.102,0.56,176.042,228360
0.599,0.667,-5.768,0.0327,0.126,0.0,0.173,0.554,94.966,142740
0.714,0.8,-4.808,0.0504,0.127,0.0,0.359,0.589,134.002,211560
0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435,214148
0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,216773
0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,269560
0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360
0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418,233720
0.746,0.754,-6.684,0.0676,0.0152,0.0,0.0486,0.746,149.882,206880
0.748,0.788,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493
0.773,0.758,-4.993,0.0381,0.0422,0.0,0.305,0.925,144.033,224840
0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,222091
0.677,0.485,-5.795,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,239317
0.781,0.445,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998,281560
0.572,0.385,-6.362,0.0308,0.371,0.0,0.231,0.323,95.799,215733
0.62,0.574,-7.788,0.0479,0.569,0.0,0.19,0.357,100.023,250173
0.666,0.535,-10.376,0.0627,0.0116,0.00204,0.274,0.741,136.991,188363
0.762,0.416,-9.994,0.0703,0.252,0.00132,0.106,0.614,110.013,243740
0.716,0.691,-10.101,0.0443,0.0221,0.242,0.107,0.459,115.975,253168
0.832,0.759,-4.853,0.0767,0.139,0.0533,0.0875,0.304,117.01,175897
0.808,0.671,-11.575,0.304,0.2,0.115,0.0985,0.768,127.907,348750
0.789,0.346,-11.7,0.0482,0.388,0.11,0.141,0.805,124.993,226777
0.723,0.399,-10.57,0.0434,0.0592,0.0883,0.317,0.7,126.093,215238
0.362,0.483,-11.435,0.111,0.848,0.383,0.343,0.392,173.631,211012
0.67,0.712,-9.483,0.0587,0.152,0.0,0.0854,0.679,115.006,171207
0.8,0.794,-8.766,0.05,0.0002,0.873,0.06,0.664,127.989,183750
0.814,0.502,-10.517,0.0734,0.0228,0.546,0.18,0.797,122.023,167089
0.595,0.456,-11.585,0.0299,0.164,0.59,0.114,0.518,122.017,212882
0.708,0.666,-8.561,0.0449,0.0399,0.000563,0.509,0.795,123.031,118598
0.793,0.453,-11.031,0.478,0.64,0.0,0.118,0.716,76.021,206311
0.837,0.881,-5.106,0.0563,0.0465,0.21,0.602,0.205,125.065,146660
0.679,0.826,-10.487,0.0744,0.00106,0.264,0.449,0.0399,124.016,191251
0.688,0.541,-11.728,0.166,0.384,0.00012,0.114,0.465,138.908,187687
0.72,0.737,-10.362,0.0604,0.00232,0.922,0.139,0.145,126.014,176726
0.632,0.801,-9.645,0.0496,0.0144,0.00626,0.0636,0.753,112.984,191832
0.875,0.687,-8.509,0.0346,0.00989,0.802,0.651,0.962,126.594,175485
