danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.82,0.686,-5.102,0.038,0.00412,0.0,0.184,0.668,110.058,0ARKW62l9uWIDYMZTUmJHF,175889
0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946,4k6Uh1HXdhtusDW5y8Gbvy,232067
0.83,0.631,-5.867,0.0654,0.231,5.94e-05,0.145,0.802,123.959,7kOEAYqtX7OjQhNxQT4bPI,147840
0.796,0.798,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,6zSpb8dQRaw0M1dK8PBwQz,202735
0.737,0.846,-4.51,0.22,0.00614,0.0,0.0486,0.546,87.981,0e8nrvls4Qqv5Rfa2UhqmO,143901
0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,4ZtFanR9U6ndgddUvNcjcG,178147
0.516,0.754,-3.519,0.16,0.456,0.0,0.204,0.764,125.176,0VGEXZO5nkh701P96U8Rer,150638
0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3USxtqRwSYz57Ewm6wWRMp,238805
0.728,0.753,-5.08,0.0954,0.288,0.0,0.0751,0.548,117.953,3oqyYhGHlZeoWXVK5XRfVK,151000
0.768,0.714,-5.11,0.0401,0.352,0.0,0.15,0.842,131.443,4h4QlmocP3IuwYEj2j14p8,163026
0.756,0.697,-6.377,0.0401,0.182,0.0,0.333,0.956,94.996,0QBzMgT7NIeoCYy3sJCof1,206071
0.743,0.835,-4.655,0.029,0.25,0.0,0.0912,0.955,120.019,6G8xvLFNkXy3HM5EbQI6c8,179000
0.788,0.859,-2.724,0.0856,0.281,0.0,0.0424,0.822,141.02,3xWGA8pa0IKFI7IMPri4P0,207853
0.695,0.54,-5.692,0.0493,0.299,0.0,0.367,0.415,121.932,4fouWK6XVHhzl78KzQ1UjL,168602
0.728,0.783,-4.424,0.266,0.237,0.0,0.434,0.555,77.011,3CIyK1V4JEJkg02E4EJnDl,173381
0.736,0.704,-7.409,0.0615,0.0203,0.0,0.0501,0.894,149.995,27NovPIUIRrOZoCHxABJwK,212000
0.701,0.716,-3.671,0.0361,0.174,0.0,0.324,0.732,91.007,4jPy3l0RUwlUI9T5XHBW2m,140533
0.702,0.825,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977,463CkQjx2Zk1yXoBuierM9,203064
0.807,0.893,-3.745,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,6ex1Pz3pntgy4NPtxHXN2V,230747
0.656,0.832,-5.386,0.294,0.0529,0.0,0.4,0.742,125.915,7e7Z1IBn71QUFLFkdyBXJf,172381
0.824,0.764,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,6Uj1ctrBOjOas8xZXGqKk4,172627
0.65,0.825,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,37BZB0z9T8Xu7U3e65qxFy,191014
0.613,0.808,-2.851,0.0346,0.0426,0.0159,0.102,0.38,124.037,0cQVqPuHQP4KEwc7ZUQmj6,240427
0.601,0.741,-5.569,0.0478,0.185,2.91e-05,0.415,0.441,153.96,6I3mqTwhRpn34SLVafSH7G,153190
0.741,0.754,-5.378,0.0897,0.091,0.0,0.15,0.885,120.046,3qaH5D6Om5rEMzt4vOxcfE,146000
0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0VjIjW4GlUZAMYd2vXMi3b,200040
0.548,0.816,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,6UelLqGlWMcVH1E5c4H7lY,174000
0.636,0.605,-4.96,0.0375,0.197,0.0,0.147,0.338,143.025,6tXiuhgWYGTA3Am1gmL8kV,245874
0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,5wANPM4fQCJwkGd4rN57mH,242013
0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,0gplL1WMoJ6iYaPgMCL0gX,224695
0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf,182161
0.633,0.562,-5.495,0.0351,0.479,0.0,0.142,0.511,139.824,55iXV5xW7LXasYXmkZiXhc,178065
0.662,0.413,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005,27OeeYzk6klgBh83TSvGMA,161385
0.593,0.503,-6.725,0.22,0.293,0.0,0.405,0.71,178.781,1SC5rEoYDGUK4NfG82494W,137704
0.824,0.587,-6.401,0.0937,0.69,0.000105,0.149,0.514,98.029,2N8m6CYs74qQO4mjVcXO30,209438
0.794,0.793,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,6WrI0LAC5M1Rw2MnX2ZvEg,183290
0.777,0.807,-4.967,0.0707,0.104,0.0,0.126,0.874,125.002,5bRGtuu90GEH5Abl3pHX32,179520
0.798,0.675,-5.041,0.0442,0.0912,0.0,0.0894,0.842,101.956,3HVWdVOQ0ZA45FuZGSfvns,219947
0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,3DarAbFujv6eYNliUTyqtz,208667
0.7,0.677,-6.179,0.0615,0.526,0.00352,0.151,0.58,90.077,4FNQbYYqsrA5ZvnIUb7LPu,120377
0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,215280
0.501,0.591,-7.167,0.0464,0.333,0.0,0.109,0.213,119.052,0SQ80FgpOcGGhzKa0IyMCO,163425
0.737,0.802,-4.771,0.0878,0.468,0.0,0.0931,0.682,144.015,35mvY5S1H3J2QZyna3TFe0,172325
